dtcreate,Berkeley_Berkeley_LHJ,Under_Investigation,Homeless,Address_Unknown,Santa_Rita_Jail,Alameda,Albany,Dublin,Emeryville,Fremont,Hayward,Livermore,Newark,Oakland,Piedmont,Pleasanton,Remainder_of_County,San_Leandro,Sunol,Union_City,Eden_Area_MAC,Castro_Valley__MAC,Fairview_MAC,ZC_94501,ZC_94502,ZC_94505,ZC_94514,ZC_94536,ZC_94538,ZC_94539,ZC_94541,ZC_94542,ZC_94544,ZC_94545,ZC_94546,ZC_94550,ZC_94551,ZC_94552,ZC_94555,ZC_94560,ZC_94566,ZC_94568,ZC_94577,ZC_94578,ZC_94579,ZC_94580,ZC_94586,ZC_94587,ZC_94588,ZC_94601,ZC_94602,ZC_94603,ZC_94605,ZC_94606,ZC_94607,ZC_94608,ZC_94609,ZC_94610,ZC_94611,ZC_94612,ZC_94613,ZC_94618,ZC_94619,ZC_94621,ZC_94702,ZC_94703,ZC_94704,ZC_94705,ZC_94706,ZC_94707,ZC_94708,ZC_94709,ZC_94710,ZC_94720,ZC_95377,ZC_95391,GlobalID,OBJECTID
2020/07/03 08:00:00+00,193,52,99,109,62,104,16,69,32,365,1108,219,173,2809,14,130,<10,345,<10,220,413,213,69,91,13,0,0,132,142,51,460,56,711,162,169,116,106,21,37,173,64,131,195,215,51,113,<10,220,66,877,85,407,231,218,111,94,39,48,63,35,0,13,174,457,33,55,47,20,19,<10,<10,<10,17,<10,0,0,59e00a0b-7895-4029-bc7d-6203d9c0e397,128
2020/07/04 08:00:00+00,203,53,100,112,62,112,18,73,32,388,1125,239,177,2897,15,137,<10,360,<10,228,431,218,70,98,14,0,0,141,153,53,479,56,717,167,174,123,119,21,38,177,68,135,208,219,52,116,<10,228,69,897,97,421,236,227,117,95,43,51,63,37,0,13,176,468,34,57,48,26,21,<10,<10,<10,17,<10,0,0,73bd801a-4b58-4666-89c8-a4a5cbb8afa5,129
2020/07/05 08:00:00+00,204,55,100,112,63,117,18,74,33,398,1139,249,180,2949,15,142,<10,369,<10,232,435,221,71,103,14,0,0,143,157,53,481,57,724,172,178,129,123,21,42,180,68,137,214,224,52,117,<10,232,74,911,100,431,240,230,119,96,44,52,64,38,0,13,178,478,34,57,48,26,21,<10,<10,<10,18,<10,0,0,71e554d2-a181-4484-9668-f1745ba49859,130
2020/07/06 08:00:00+00,216,56,101,112,63,119,20,78,33,408,1149,253,181,2990,16,143,<10,373,<10,235,437,221,72,105,14,0,0,145,162,54,485,57,727,175,178,130,126,21,43,181,69,141,218,226,52,117,<10,235,75,918,100,440,244,230,121,96,49,54,64,38,0,17,178,487,34,57,60,26,23,<10,<10,<10,18,<10,0,0,dfaf6aa2-5707-447b-95cc-2b6465b5ed54,131
2020/07/07 08:00:00+00,223,59,102,114,63,122,21,78,33,414,1169,259,183,3057,16,143,<10,376,<10,241,449,222,73,108,14,0,0,146,164,55,499,59,734,177,181,132,130,21,44,183,69,141,220,227,53,122,<10,241,75,936,103,454,246,234,124,97,52,58,65,38,0,17,182,497,34,58,62,27,25,<10,<10,<10,19,<10,0,0,837f43d0-5994-4513-af61-a3f604e4d5a2,132
2020/07/08 08:00:00+00,236,63,102,118,63,122,21,79,33,419,1183,267,188,3116,16,143,<10,383,<10,242,454,225,75,108,14,0,0,146,168,55,507,59,743,178,184,134,136,21,45,188,69,142,222,234,54,122,<10,242,75,948,104,464,254,241,130,99,53,60,66,41,0,17,184,502,35,59,70,27,25,<10,<10,<10,20,<10,0,0,d1cba794-5f8d-4816-bb2a-4e92a0176123,133
2020/07/09 08:00:00+00,248,67,102,136,64,129,21,81,34,431,1191,282,196,3208,16,154,10,390,<10,245,461,227,76,115,14,0,0,150,176,55,513,60,748,178,185,142,145,22,45,196,74,145,227,237,54,125,<10,245,81,974,105,482,260,251,139,104,55,63,66,42,0,17,186,512,37,61,75,28,25,<10,<10,<10,21,<10,0,0,05e94217-248b-4ab1-a068-4775e1bbfb0b,134
2020/07/10 08:00:00+00,258,68,102,138,65,131,21,85,35,444,1229,300,207,3280,16,157,11,402,<10,257,480,234,77,116,15,0,0,156,181,57,529,68,764,185,188,156,150,23,45,207,75,150,236,249,54,130,<10,257,83,985,108,507,265,257,143,105,56,66,67,45,0,17,187,521,37,63,80,28,25,<10,<10,<10,23,<10,0,0,c8a743f5-7842-4c0b-969d-7eb46722e95c,135
2020/07/11 08:00:00+00,271,71,102,138,65,137,21,86,36,448,1256,308,210,3367,16,158,12,420,<10,261,498,236,77,122,15,0,0,157,183,57,539,68,780,191,189,159,156,23,46,210,75,151,246,255,59,141,<10,261,84,1000,110,534,270,263,146,108,60,70,67,47,0,17,187,538,38,66,84,33,25,<10,<10,<10,23,<10,0,0,3230ab18-58a9-4965-9807-15cbe4425645,136
2020/07/12 08:00:00+00,274,71,103,138,65,139,22,88,37,454,1285,319,213,3431,16,163,12,429,<10,263,506,240,77,124,15,0,0,159,186,57,552,70,795,194,193,162,164,23,47,213,77,153,249,263,61,141,<10,263,87,1012,113,547,276,267,150,111,64,70,67,48,0,17,191,548,38,66,85,34,26,<10,<10,<10,24,<10,0,0,336bad5f-0da9-47b6-8c3b-6b6c32de9ef8,137
2020/07/13 08:00:00+00,290,72,103,138,65,141,23,90,37,460,1303,327,217,3471,18,169,12,433,<10,267,510,243,78,126,15,0,0,161,189,58,557,70,808,196,196,167,167,23,47,217,80,155,251,265,63,142,<10,267,90,1025,116,551,279,272,153,112,65,70,69,48,0,17,192,554,41,69,91,35,27,<10,<10,<10,27,<10,0,0,ec24ef21-0366-4df4-8f4a-be1e720c8456,138
2020/07/14 08:00:00+00,294,72,104,141,65,144,24,93,37,465,1330,342,219,3565,19,174,12,448,<10,268,522,250,78,129,15,0,0,162,192,58,568,71,822,199,203,175,174,23,48,219,83,158,257,271,70,148,<10,268,92,1045,117,576,288,277,161,115,66,72,73,50,0,18,193,567,42,70,91,35,28,<10,<10,<10,28,<10,0,0,55bc6911-47e5-46f9-ac8f-a1b910a62355,139
2020/07/15 08:00:00+00,298,74,105,143,65,146,24,96,38,467,1343,349,219,3599,19,177,12,452,<10,269,527,255,80,131,15,0,0,162,193,58,572,71,829,203,207,180,176,24,49,219,84,161,258,276,70,151,<10,269,94,1052,117,581,295,278,163,117,67,73,74,51,0,18,195,572,43,70,94,35,28,<10,<10,<10,28,<10,0,0,bbb3d7dd-8199-463e-b487-f8a8f29bfc68,140
2020/07/16 08:00:00+00,301,75,105,147,66,147,25,98,39,471,1348,350,221,3682,20,177,12,456,<10,274,534,260,80,132,15,0,0,164,193,59,576,71,833,203,212,180,177,24,50,221,84,164,261,277,71,154,<10,274,94,1078,120,596,298,282,164,121,70,74,76,53,0,18,201,587,43,70,97,35,29,<10,<10,<10,28,<10,0,0,5ed9f41c-e00c-4f10-8a92-3fd6040ae4ba,141
2020/07/17 08:00:00+00,313,77,107,171,98,149,26,98,41,491,1370,364,224,3787,21,179,13,470,<10,275,545,262,80,134,15,0,0,177,198,60,589,74,842,205,214,187,184,24,51,224,87,196,266,289,73,155,<10,275,94,1107,124,619,303,290,166,123,72,76,78,53,0,18,205,612,46,74,100,35,31,<10,<10,<10,28,<10,0,0,acd9aa00-6c28-4913-95db-17a4c39fb731,142
2020/07/18 08:00:00+00,315,79,110,171,98,152,27,104,41,503,1388,373,226,3834,23,189,13,476,<10,281,556,270,82,136,16,0,0,182,203,62,601,77,852,206,222,190,190,24,51,226,95,202,267,296,74,157,<10,281,96,1117,129,629,308,294,171,124,72,78,80,53,0,19,205,616,47,74,100,35,32,<10,<10,<10,29,<10,0,0,dab84fac-968d-4e76-906d-87a50a331708,143
2020/07/19 08:00:00+00,324,80,114,173,98,153,28,106,42,521,1417,387,229,3923,23,197,15,491,<10,291,568,276,83,137,16,0,0,191,210,64,613,79,874,208,226,200,195,25,51,229,103,204,271,306,77,160,<10,291,97,1132,136,653,315,299,177,128,73,81,80,55,0,20,209,627,47,77,101,36,33,<10,<10,<10,31,<10,0,0,1f7f7426-61cd-4a9d-a653-1c48cbf64d0b,144
2020/07/20 08:00:00+00,331,84,117,174,98,158,28,110,46,540,1450,405,235,4038,23,206,15,504,<10,300,578,280,83,142,16,0,0,195,218,70,622,82,890,216,230,208,205,25,52,235,110,208,276,313,81,164,<10,300,99,1162,141,670,322,306,180,138,77,85,82,58,0,21,216,645,48,78,104,36,33,<10,<10,<10,33,<10,0,0,fe7a2e14-9098-476d-92b7-c8a4bf68f670,145
2020/07/21 08:00:00+00,337,87,117,178,98,163,28,110,46,559,1474,413,239,4108,23,211,15,516,<10,308,589,286,85,145,18,0,0,199,228,72,630,85,906,219,232,210,211,28,55,239,112,208,279,323,85,167,<10,308,102,1178,144,683,327,312,186,140,78,87,84,59,0,21,219,655,49,80,105,37,33,<10,10,<10,33,<10,0,0,edf114a2-0e6c-474b-aa98-dfb2bad923a9,146
2020/07/22 08:00:00+00,343,93,118,199,112,165,29,110,47,574,1497,430,240,4195,23,214,15,530,<10,316,598,291,88,147,18,0,0,204,235,74,643,86,919,223,234,220,218,29,56,240,115,222,286,330,89,169,<10,316,102,1204,151,700,331,318,191,142,82,88,85,59,0,21,221,668,51,81,106,37,34,<10,11,<10,33,<10,0,0,70ddd530-1dc7-492e-83fc-23c2883d3c07,147
2020/07/23 08:00:00+00,347,95,119,204,119,165,29,114,49,586,1508,434,243,4251,23,215,15,537,<10,319,614,292,88,147,18,0,0,208,239,77,651,86,927,224,235,222,220,29,57,243,116,233,292,335,89,175,<10,319,102,1216,152,713,339,321,193,144,84,88,86,59,0,21,223,680,51,84,106,37,34,<10,11,10,33,<10,0,0,75cc601e-56ab-4f7a-9c38-13ebdba29cfc,148
2020/07/24 08:00:00+00,362,95,119,213,125,166,29,115,49,595,1530,438,246,4364,23,219,15,545,<10,322,624,297,88,148,18,0,0,212,244,77,661,87,940,225,238,225,221,30,57,246,118,240,296,339,90,182,<10,322,104,1249,155,734,350,327,200,145,86,89,89,60,0,21,227,700,58,86,107,37,34,<10,11,12,36,<10,0,0,63ab353e-f047-4840-b7b2-7f29fc447ad2,149
2020/07/25 08:00:00+00,363,95,119,214,125,167,29,119,49,603,1551,446,250,4408,23,221,16,554,<10,324,637,299,88,149,18,0,0,215,244,80,674,87,944,234,240,226,228,31,59,250,119,244,299,342,93,190,<10,324,105,1267,157,742,355,330,200,145,86,90,89,60,0,21,227,707,58,86,108,37,34,<10,11,12,36,<10,0,0,243296bb-2cbb-481c-9adf-2b7357939547,150
2020/07/26 08:00:00+00,363,96,119,215,125,167,29,120,49,619,1554,456,252,4434,23,223,16,556,<10,326,638,300,88,149,18,0,0,217,257,81,675,87,945,235,240,227,237,32,59,252,121,245,299,344,93,191,<10,326,105,1271,157,745,358,333,202,147,86,90,90,60,0,21,227,715,58,86,108,37,34,<10,11,12,36,<10,0,0,31a41b2c-48d0-4add-b607-3777741c1c62,151
